Cap Title                                                         First Seen (CT)
The Damage Done Collectors Edition Boston Scally Cap - Navy       3/9/2026
The Denim Worker Boston Scally Cap - Denim Blue                   3/9/2026
The Distillery Boston Scally Cap - Blue Mash Plaid                3/9/2026
The Distillery Boston Scally Cap - Firewater Plaid                3/9/2026
The Distillery Boston Scally Cap - Moonshine Plaid                3/9/2026
The Donnybrook Boston Scally Cap - Dark Olive Green Herringbone   3/9/2026
The Donnybrook Boston Scally Cap - Grey Herringbone               3/9/2026
The Donut Boston Scally Cap - Frosted Edition Patchwork           3/9/2026
The Dorchester Collectors Edition Boston Scally Cap - Dorchester Green 3/9/2026
The Driver Boston Scally Cap - Black                              3/9/2026
The Driver Boston Scally Cap - White                              3/9/2026
The Dubliner Boston Scally Cap - Black                            3/9/2026
The Dubliner Boston Scally Cap - Blarney Stone                    3/9/2026
The Dubliner Boston Scally Cap - Gold Rock                        3/9/2026
The Dubliner Boston Scally Cap - Hunter Green                     3/9/2026
The Easter Rose Peaky Boston Scally Cap - Blue Plaid              3/18/2026
The Eire Boston Scally Cap - Blarney Stone                        3/9/2026
The Fighting Rock Boston Scally Cap - Green Plaid                 3/9/2026
The Flap Cap Boston Scally Cap - Grey Herringbone                 3/9/2026
The Frankenhead Boston Scally Cap - Purple & Undead Plaid         3/9/2026
The Frostland Boston Scally Cap - Yeti Plaid                      3/9/2026
The G.O.A.T. Collectors Edition Boston Scally Cap - Patriot Blue Herringbone 3/9/2026
The Galway Boston Scally Cap - Patchwork                          3/9/2026
The Ghosthead Boston Scally Cap - Ghost Plaid                     3/9/2026
The Good Egg Boston Scally Cap - Spring Blossom                   3/18/2026
The Goon Boston Scally Cap - Black & Gold                         3/13/2026
The Grateful Dead 60th Anniversary Boston Scally Cap - Patchwork Edition 3/9/2026
The Grateful Dead Dancing Bears Boston Scally Cap - Truckin' Patchwork 3/9/2026
The Gridiron Boston Scally Cap - Blue Patchwork                   3/9/2026
The Grunt Boston Scally Cap - Army Green                          3/9/2026
The Guinness Boston Scally Cap - Harp Edition                     3/9/2026
The Guinness Gilroy Boston Scally Cap - Patchwork                 3/9/2026
The Halloween Houndstooth Boston Scally Cap - Orange & Black      3/9/2026
The Halloween Rose Boston Scally Cap - Plaid                      3/9/2026
The Hare Boston Scally Cap - Blue & Grey Plaid                    3/18/2026
The Harpoon Boston Scally Cap - Grey                              3/9/2026
The Harvestland Boston Scally Cap - Plaid                         3/9/2026
The Holiday Herringbone Peaky Boston Scally Cap - Red Herringbone 3/9/2026
The Homage Boston Scally Cap - Black & Navy Houndstooth           3/9/2026
The Homage Boston Scally Cap - Clover & Navy Houndstooth          3/9/2026
The Homage Boston Scally Cap - Grey & Navy Houndstooth            3/9/2026
The Hound Boston Scally Cap - Brown Houndstooth                   3/9/2026
The Hound Boston Scally Cap - Grey Houndstooth                    3/9/2026
The Hound Boston Scally Cap - Tan Houndstooth                     3/9/2026
The Hustle Boston Scally Cap - Blue Moon                          3/9/2026
The Hustle Boston Scally Cap - Dusk & Dawn                        3/9/2026
The Insulated Peaky Boston Scally Cap - Cedar Moss                3/9/2026
The Insulated Peaky Boston Scally Cap - Glacier Haze              3/9/2026
The Insulated Peaky Boston Scally Cap - Indigo Blue               3/9/2026
The Irish Baker Boy Boston Scally Cap - Clover & Stone            3/13/2026
The Irish Boston Scally Cap - Green Herringbone                   3/9/2026
The Irish Boston Scally Cap - White Herringbone                   3/9/2026
The Irish Micky Ward Boston Scally Cap                            3/9/2026
The Irish Pub Boston Scally Cap - Dorchester Green                3/9/2026
